buildingnumber,score_electricity,score_cooling,score_gas,score_heat,score_steam,cross_utility_score,n_utilities,cross_utility_rank,buildingname,grossarea
306,-0.225605730659355,,-0.07164027907824728,,,-0.14862300486880115,2,193,Atwell Hall (0306),102455
67,-0.21135823507355098,-0.06078438207927846,,-0.17450955321998338,,-0.1488840567909376,3,194,Pomerene Hall (0067),93504
249,-0.12755365240891037,-0.1536127067721833,,-0.1845392137254313,-0.14402390453762876,-0.15243236936103843,4,195,Fisher Hall (0249),132056
213,,,-0.15262643169825466,,,-0.15262643169825466,1,196,Center for Integrative Medicine (0213),9460
161,-0.09683162857140039,,-0.1174758108619038,-0.24358395667188082,,-0.152630465368395,3,197,Ohio Union (0161),317694
87,-0.12606441949467312,-0.15597989050629918,,-0.1769459748856037,,-0.15299676162885867,3,198,Townshend Hall (0087),64406
72,-0.26027932528997594,-9.408606539354492e-05,,-0.20422469724367726,,-0.15486603619968226,3,199,Enarson Classroom Building (0072),88768
1320,,,-0.1568121310010228,,,-0.1568121310010228,1,200,Waterman - CEARC (1320),48357
348,0.02629060046603054,,-0.344031423259462,,,-0.15887041139671573,2,201,Jesse Owens Recreation Center South (0348),23535
60,-0.030566794902064785,,-0.233988902248731,-0.22246681557296366,,-0.16234083757458648,3,202,Orton Hall (0060),41022
26,-0.11984862433151951,-0.42975959064106617,,0.04725117874732373,,-0.16745234540842066,3,203,Caldwell Laboratory (0026),100348
163,-0.14299840907833197,,-0.1447253067544228,-0.21584350123825008,,-0.16785573902366827,3,204,Tzagournis Medical Research Facility (0163),80417
5,-0.13528864798159929,-0.18838315758206603,,-0.1800713520952986,,-0.16791438588632132,3,205,Eighteenth Avenue Library (0005),99181
245,-0.17498103933578518,-0.07211390294219999,,-0.2612760506784586,,-0.16945699765214792,3,206,Physical Activity and Education Services - PAES (0245),164672
355,-0.24872239256118317,,,-0.09122893955982417,,-0.16997566606050368,2,207,Weigel Hall (0355),58264
64,-0.1121387126351279,,-0.2201484600324608,,-0.18555974331311686,-0.1726156386602352,3,208,Parker Food Science and Technology (0064),78629
49,-0.03021241162131901,,,-0.31523083957228637,,-0.17272162559680268,2,209,Drinko Hall (0049),211467
987,-0.2506462326504492,,-0.09981827524411374,,,-0.17523225394728148,2,210,Campus Shop (0987),10291
