buildingnumber,n_samples,residual_std,residual_cv,residual_uncertainty,combined_uncertainty,confidence_tier,buildingname,grossarea,utility
55,5164,8.832258562529336e-06,0.18134239398322097,0.07685441834499693,0.038427209172498464,High,Mershon Auditorium (0055),120223,HEAT
60,5164,1.2650242597461831e-05,0.9125276051208588,0.07882119117252144,0.03941059558626072,High,Orton Hall (0060),41022,HEAT
87,5164,1.1912325511312953e-05,0.17769233174286445,0.07924990777628252,0.03962495388814126,High,Townshend Hall (0087),64406,HEAT
30,5164,1.1740506791680715e-05,0.29760643656771085,0.07928193123074359,0.039640965615371795,High,Denney Hall (0030),103772,HEAT
245,5164,1.0549617142232024e-05,0.12335896619409169,0.08097256601525636,0.04048628300762818,High,Physical Activity and Education Services - PAES (0245),164672,HEAT
70,5164,1.4456550331490606e-05,0.08438411242774634,0.08166338675654539,0.04083169337827269,High,Physics Research Building (0070),238732,HEAT
86,5164,1.663790486919927e-05,0.6028435932266407,0.0882808534939435,0.04414042674697175,Medium,French Field House (0086),91588,HEAT
67,5124,1.0320433023078997e-05,0.6858629914031237,0.08888326540665546,0.04444163270332773,Medium,Pomerene Hall (0067),93504,HEAT
69,5164,1.2732361545454199e-05,0.1920565726372555,0.08920905484224205,0.044604527421121025,Medium,McCracken Power Plant (0069),110142,HEAT
249,5164,1.140709653472362e-05,0.10915025971649994,0.09152401830701008,0.04576200915350504,Medium,Fisher Hall (0249),132056,HEAT
25,5164,1.1476541799987772e-05,0.22066991813971973,0.09308211029979097,0.04654105514989548,Medium,Derby Hall (0025),115334,HEAT
356,5164,1.230395533537891e-05,0.07519348712432145,0.09379778268873724,0.04689889134436862,Medium,"Twelfth Ave, 395 W (0356)",90747,HEAT
229,5164,1.3992031361054903e-05,0.07120898799814934,0.09502231312507016,0.04751115656253508,Medium,Ice Rink (0229),34135,HEAT
354,5164,1.3045374590488781e-05,0.18633764960261953,0.09617390650095897,0.048086953250479486,Medium,Rhodes Hall (0354),508398,HEAT
84,5164,1.1746072810566372e-05,0.19499978811713814,0.09833351611424063,0.04916675805712031,Medium,Stillman Hall (0084),68544,HEAT
53,5164,1.323496193404295e-05,0.12711110388850622,0.09917407486529024,0.04958703743264512,Medium,McPherson Chemical Laboratory (0053),117661,HEAT
54,5164,1.3785860253384314e-05,0.13301306259471418,0.09964755144586122,0.04982377572293061,Medium,Mendenhall Laboratory (0054),123671,HEAT
76,4204,1.3694580313891731e-05,0.3568799947348495,0.10063132850463741,0.050315664252318704,Medium,St John Arena (0076),229280,HEAT
272,5164,1.2250544502349987e-05,0.1766071761070105,0.10068249720838458,0.05034124860419229,Medium,Morrill Tower (0272),322612,HEAT
337,5164,1.3297552273536197e-05,0.22249824640783317,0.10532581378144562,0.05266290689072281,Medium,Dulles Hall (0337),41284,HEAT
274,5164,1.6771150230192895e-05,0.7225969393638518,0.10540312012318852,0.05270156006159426,Medium,Hitchcock Hall (0274),118612,HEAT
59,5164,1.4521699768377748e-05,0.20445115139088907,0.11014554090364943,0.05507277045182472,Medium,Fry Hall (0059),58051,HEAT
98,5164,2.1051979375106986e-05,1.4326728901363162,0.11222855697009329,0.056114278485046645,Medium,Canfield Hall (0098),61355,HEAT
279,5164,1.552160479095264e-05,0.3279544048305539,0.11262464357078772,0.05631232178539386,Medium,Dreese Laboratories (0279),185430,HEAT
50,5164,1.4167186132566378e-05,0.11407149566253186,0.11275356655365948,0.05637678327682974,Medium,Thompson Library (0050),308820,HEAT
97,5164,2.1244398969896747e-05,1.4216513327234588,0.1128763374684593,0.05643816873422965,Medium,Bradley Hall (0097),70349,HEAT
1043,5164,1.5712903042681416e-05,0.06685720510425484,0.11367322249258253,0.05683661124629127,Medium,James Outpatient Care (1043),396764,HEAT
184,5164,5.1064821992507044e-06,10.062697080152379,0.11692514285279484,0.05846257142639742,Medium,Barrett House (0184),35922,HEAT
150,5164,1.864551130966148e-05,0.1226731077249984,0.12145032691015932,0.06072516345507966,Medium,Evans Laboratory (0150),117574,HEAT
386,4948,2.4536266851478024e-06,11.915690659417,0.1228526100552545,0.06142630502762725,Medium,Wexner Center for the Arts (0386),131071,HEAT
275,5164,1.9556960910246786e-05,0.17774063709070456,0.12353059479737344,0.06176529739868672,Medium,Newton Hall (0275),80675,HEAT
308,5164,1.658521232606629e-05,0.08362823979951635,0.1237434936490526,0.0618717468245263,Medium,Rightmire Hall (0308),97650,HEAT
26,5164,2.0098022947960982e-05,0.06093636764434877,0.1249147081758137,0.06245735408790685,Medium,Caldwell Laboratory (0026),100348,HEAT
298,4204,1.4730908189075425e-05,0.43962837459564286,0.1251477184876719,0.06257385924383595,Medium,Agricultural Engineering Building (0298),111496,HEAT
72,5164,1.9727494196917804e-05,0.22640290225069373,0.1270498518210689,0.06352492591053445,Medium,Enarson Classroom Building (0072),88768,HEAT
61,5164,1.7771611288393103e-05,0.37221727536800475,0.1275511562965144,0.0637755781482572,Medium,Page Hall (0061),64665,HEAT
253,5164,1.9705098970013014e-05,1.3860874592266348,0.12793804017842228,0.06396902008921114,Medium,Pfahl Hall (0253),58031,HEAT
14,5164,1.9178394423412e-05,0.11189180371494985,0.1305869588419179,0.06529347942095895,Medium,Jennings Hall (0014),112502,HEAT
294,5164,2.758720334672854e-05,0.6967767361119241,0.1345917810277061,0.06729589051385305,Medium,Wilce Student Health Center (0294),65255,HEAT
99,5164,2.04988150902473e-05,0.29657906789668054,0.13760007465284266,0.06880003732642133,Medium,Siebert Hall (0099),85851,HEAT
163,5156,2.5677827913002967e-05,0.29167574976631805,0.1398569261533253,0.06992846307666264,Medium,Tzagournis Medical Research Facility (0163),80417,HEAT
372,5164,1.9370559699152113e-05,0.05559869920580469,0.14108870071423646,0.07054435035711823,Medium,Brain and Spine Hospital (0372),258797,HEAT
