buildingnumber,n_samples,residual_std,residual_cv,residual_uncertainty,combined_uncertainty,confidence_tier,buildingname,grossarea,utility
11,5164,6.185301210591114e-05,0.20950039011254665,0.044653873750535214,0.022326936875267607,Low,Arps Hall (0011),129282,COOLING
1,5164,1.446381041723364e-05,0.40104719527708305,0.044661562183686554,0.022330781091843277,Low,Bricker Hall (0001),74140,COOLING
1109,5164,4.5070295592253474e-05,0.2886495922840921,0.04594520200917464,0.02297260100458732,Low,North Recreation Center (1109),29520,COOLING
252,5164,7.202509967433856e-05,0.30742903535458294,0.049281878275521974,0.024640939137760987,Low,Mason Hall (0252),68150,COOLING
150,5164,8.380562930139131e-05,0.1628505278369477,0.049454569457561784,0.024727284728780892,Low,Evans Laboratory (0150),117574,COOLING
339,5164,4.951961400440647e-06,0.5588657039319431,0.051963186749589274,0.025981593374794637,Low,University Hall (0339),77845,COOLING
144,5164,9.457624500114582e-05,0.2356304901148661,0.05396815497882761,0.026984077489413803,Low,Psychology Building (0144),132733,COOLING
180,5164,0.00012056028679078147,0.15832667807859446,0.05632159435617086,0.02816079717808543,Low,Goss Laboratory (0180),67943,COOLING
26,5164,0.00012338062794464398,0.09493891547245578,0.05867848525387111,0.029339242626935554,Low,Caldwell Laboratory (0026),100348,COOLING
1044,5164,0.00010857741730182848,0.1856575002794761,0.05968668187679564,0.02984334093839782,Low,Energy Advancement and Innovation Center (1044),66170,COOLING
41,5164,0.00015063610164282778,0.17402564784441535,0.06439480533257078,0.03219740266628539,Low,Lazenby Hall (0041),69893,COOLING
248,5164,0.00013519944602538217,0.12213315900443934,0.06565171899302606,0.03282585949651303,Low,CBEC (0248),236537,COOLING
338,5164,7.415531843239849e-05,0.5568126970012288,0.06850892214251567,0.03425446107125783,Low,Independence Hall (0338),15891,COOLING
95,5164,7.927092101237995e-06,0.850303053094338,0.07128154829937831,0.03564077414968916,Low,Baker Hall (0095),224834,COOLING
160,5164,8.469636645861602e-05,0.6094666725498668,0.07203381756072083,0.036016908780360415,Low,Student Academic Services (0160),137002,COOLING
371,5164,0.0001620198102111014,0.16991277007385527,0.07323881890165981,0.03661940945082991,Low,Celeste Laboratory of Chemistry (0371),110310,COOLING
127,5164,8.631362300564605e-05,0.7651580036363855,0.08062766881603735,0.040313834408018674,Low,Smith Electrical Substation (0127),23886,COOLING
280,5164,0.00029451427842255753,0.1117580843570716,0.1104875855167793,0.05524379275838965,Low,Baker Systems Engineering (0280),115386,COOLING
276,5164,0.00033118081012575894,0.12165009084306294,0.1204499881900712,0.0602249940950356,Low,Biological Sciences Building (0276),180694,COOLING
69,5164,0.0004108472764466616,0.08751081820478612,0.14778917686696025,0.07389458843348012,Low,McCracken Power Plant (0069),110142,COOLING
1018,4344,0.0009622048020542385,0.06453617024167489,0.2943133786102048,0.1471566893051024,Low,Fontana Laboratories (1018),124191,COOLING
77,5144,0.0007791593042958926,3.2366712136369133,0.35859438484270467,0.17929719242135234,Low,Central Service Building (0077),15136,COOLING
388,3120,0.0013127742717765302,0.1348230525716245,0.47478563742364,0.23739281871182,Low,"Chiller Plant, South Campus Central (0388)",83056,COOLING
376,3032,0.0022912595894769047,0.19865123943829485,0.756582472210019,0.3782912361050095,Low,"Chilled Water Plant, East Regional (0376)",34246,COOLING
