buildingnumber,n_samples,residual_std,residual_cv,residual_uncertainty,qrf_mean_interval,qrf_uncertainty,ngb_mean_std,ngb_uncertainty,rank_std,n_models,model_disagreement,combined_uncertainty,confidence_tier,buildingname,grossarea,utility
161,5164,1.1052280568658964e-05,0.09579284608658978,0.039882819303783845,4.8769425904031796e-05,0.039282588886650954,0.00026943942244589555,0.00023374561310809792,69.60962577115323,5,0.5429419663099923,0.1847031447477618,Medium,Ohio Union (0161),317694,ELECTRICITY
248,5164,1.8376199279572348e-05,0.05235835856449846,0.05348057842692944,3.3841000763692586e-05,0.003820074599373139,0.0002767819492022706,4.6514399155150714e-05,72.00555534123738,5,0.5620173068613359,0.1856113613961962,Medium,CBEC (0248),236537,ELECTRICITY
284,5164,1.4338836231588836e-05,0.1319630168981449,0.044658548322413685,4.085108387688445e-05,0.034202855773031025,0.00026943942244589555,0.0002512262486717009,69.92638986820354,5,0.5454639031403229,0.18562513331937952,Medium,Fawcett Center for Tomorrow (0284),182142,ELECTRICITY
362,5164,5.132468446492467e-06,0.033709438179258235,0.0288508345081709,4.535812050441603e-05,0.025719298996602618,0.00026943942244589555,0.0001652712577570134,73.04245340895936,5,0.5702726345662035,0.18619165616012653,Medium,Bulk Chemical Warehouse (0362),16525,ELECTRICITY
282,5164,1.3220580740264793e-06,0.04112202569037469,0.022513464515398998,4.37664234599302e-06,0.008136339355983622,0.00026943942244589555,0.0009655758412084434,75.79775722275693,5,0.5922091552498054,0.18659570714473853,Medium,Galbreath Equine Center (0282),41121,ELECTRICITY
158,5164,0.00016800967188941533,0.6919772890608846,0.22471685195162555,0.00014834664431916266,0.059748175272740296,0.00029025815986370517,9.576618129178183e-05,46.58325879540846,5,0.35961613018905875,0.19025130338758414,Medium,Reactor (0158),4887,ELECTRICITY
846,5164,1.168262426687758e-05,0.0805987834917541,0.04002202048252435,4.7026421539380394e-05,0.028602819286532914,0.00026943942244589555,0.00017607228278876614,73.14847913661637,5,0.571116764914405,0.19051875128313037,Medium,William Hall Complex - Neil Building (0846),129908,ELECTRICITY
14,5164,1.4089245001886583e-05,0.07339810521418702,0.04222544442819791,3.807020699107525e-05,0.014896111190582071,0.00026943942244589555,0.00012096584062867734,75.0113324771664,5,0.5859479862958215,0.19219420189094566,Medium,Jennings Hall (0014),112502,ELECTRICITY
81,5164,1.4035459874867716e-05,0.10053164170450506,0.04720061234721162,4.233689956607409e-05,0.026299628849354325,0.00026943942244589555,0.00018467195648511658,73.20040983491828,5,0.5715302143611444,0.19222185601831818,Medium,Schottenstein Center (0081),626259,ELECTRICITY
357,5164,1.78405220010435e-05,0.1579915904169255,0.05350032220000735,7.20548209696867e-05,0.06269466582834048,0.00026943942244589555,0.00023989466078928054,68.70371169012633,5,0.5357294756668558,0.19247859001626247,Medium,Northwood-High Building (0357),41171,ELECTRICITY
11,5164,2.041914872482475e-06,0.049092156620644346,0.023712781852356722,4.745952069069786e-05,0.11735770511097872,0.00026943942244589555,0.0007352258852190756,67.21383786096432,5,0.5238677535926124,0.19372387079401832,Medium,Arps Hall (0011),129282,ELECTRICITY
851,5164,5.369379523213091e-05,0.27602832269769256,0.09445493463211302,7.216375517412185e-05,0.03366138925617526,0.0002694432998712068,0.00011872661437884234,67.18407549412287,5,0.5236307986794949,0.19385887629968304,Medium,Park-Stradley Hall (0851),271039,ELECTRICITY
280,5164,3.4151772432623673e-06,0.08918927175809514,0.02644848572110206,4.99271432858263e-05,0.1350569816953439,0.00026943942244589555,0.0008028515456202245,65.92950780947784,5,0.5136424809392226,0.19591196315377643,Medium,Baker Systems Engineering (0280),115386,ELECTRICITY
1011,5164,1.2072475084076497e-05,0.06606092511966577,0.042009787356871636,3.881197947685296e-05,0.016423518200777545,0.00026943942244589555,0.00012952821472675857,76.4872538401007,5,0.5976986249525272,0.1960378324752231,Medium,Schumaker Complex (1011),114315,ELECTRICITY
163,5164,1.740498247634669e-05,0.05468348901497461,0.045455231929127794,3.7660579996829646e-05,0.006200547812571157,0.00027470536734708437,5.5527690443128444e-05,77.25477331531043,5,0.603809278434257,0.19633781921572474,Medium,Tzagournis Medical Research Facility (0163),80417,ELECTRICITY
932,5164,5.546891570533964e-06,0.12888395891979706,0.030894729623114108,4.3172291139014805e-05,0.10236854485075758,0.00026943942244589555,0.0007089085834075846,69.1172916136042,5,0.539022217650612,0.1966735566823184,Medium,"Kinnear Rd, 1165 (0932)",104514,ELECTRICITY
133,5164,1.3867526500545724e-05,0.05890290403589076,0.04193256080185128,3.0417965730249272e-05,0.00738291714823764,0.00026943942244589555,8.958955527154872e-05,78.06920007275596,5,0.6102933871269238,0.19752695209898272,Medium,Waterman - South Storage 1 (0133),5450,ELECTRICITY
1037,5164,1.3353087490958115e-05,0.1243425484342166,0.044575513399946406,5.7433487743385004e-05,0.05146857080386148,0.00026943942244589555,0.00025477188276117914,73.21885003194191,5,0.5716770271232772,0.19778112064034667,Medium,Ty Tucker Tennis Center (1037),69848,ELECTRICITY
194,5164,8.760020642051088e-06,0.09555619091333792,0.03599466285270604,6.124660794798594e-05,0.06595426243811826,0.00026943942244589555,0.0003068385359128936,72.83886325307391,5,0.5686517390253217,0.19792851195332484,Medium,Houck House (0194),38462,ELECTRICITY
128,5164,3.501581109961567e-06,0.12039421718459858,0.027166365013696788,1.0852740295229191e-05,0.033897171323533766,0.00026943942244589555,0.0010725018428470604,77.27095185126167,5,0.6039380848427364,0.19796650306424046,Low,"Kinnear Rd, 1260 (0128)",2784,ELECTRICITY
25,5164,3.924877527610852e-06,0.0764640064431657,0.027573452830887597,4.156003043395548e-05,0.08134206222948484,0.00026943942244589555,0.0005864830475845558,72.93970112359935,5,0.5694545659300697,0.1995318936427961,Low,Derby Hall (0025),115334,ELECTRICITY
72,5164,1.1190718812174618e-05,0.055765689142221686,0.03948369647081464,3.025934252418354e-05,0.00972918890589312,0.00026943942244589555,0.0001135845525169526,79.12774481811041,5,0.6187210561863955,0.1999107607065139,Low,Enarson Classroom Building (0072),88768,ELECTRICITY
